id,name,team
243,Carlos Lee,N/A
525,Derrek Lee,N/A
8027,Adam Lind,MIL
4556,James Loney,TB
393,Victor Martinez,DET
1857,Joe Mauer,MIN
9373,Matt McBride,COL
9423,Chris Mcguiness,CLE
sa295188,Ernesto Mejia,ATL
7244,Tyler Moore,WAS
8610,Kendrys Morales,KC
3086,Mitch Moreland,TEX
1737,Justin Morneau,COL
9205,Logan Morrison,TB
3057,Mike Napoli,TEX
1617,Lyle Overbay,N/A
9741,Ben Paulsen,COL
9957,Steve Pearce,BAL
934,Carlos Pena,N/A
5834,Brett Pill,SF
1177,Albert Pujols,LAA
3473,Anthony Rizzo,CHC
9682,Adam Rosales,TEX
9929,Darin Ruf,PHI
3361,Gaby Sanchez,PIT
6788,Josh Satin,NYM
11982,Travis Shaw,BOS
10441,Jonathan Singleton,HOU
9054,Justin Smoak,TOR
9856,Brandon Snyder,TEX
4599,Nick Swisher,ATL
1281,Mark Teixeira,NYY
409,Jim Thome,N/A
12101,Kennys Vargas,MIN
5000,Stephen Vogt,OAK
4314,Joey Votto,CIN
13419,Christian Walker,BAL
8434,Brett Wallace,HOU
1491,Ty Wigginton,STL
1286,Michael Young,N/A
